Title,Author,Year,ISBN,Target Users,Expertise Level,Lesson Plans or Projects,Subjects,Amazon Link,Worldcat Link,Annotation
"Mastering 3D printing : modeling, printing, and prototyping with reprap-style 3D printers","Joan C.,Horvath",2014,1484200268 :,,,,,,,
A Hands-On Course in Sensors Using the Arduino and Raspberry Pi,Volker Ziemann,2018,,,,,,,,
Wearable Computing: From Modeling to Implementation of Wearable Systems Based on Body Sensor Networks,"Giancarlo Fortino,Raffaele Gravina,Stefano Galzarano",2018,978-1118864579,"College/University,General",Advanced,,,https://www.amazon.com/Wearable-Computing-Modeling-Implementation-Networks-ebook/dp/B07C1DV3Y4,,
Mobile Technology and Academic Libraries: Innovative Services for Research and Learning,"Robin Canuel,Chad Crichton",2017,978-0838988794,"Libraries,College/University","Intermediate,Advanced",,,https://www.amazon.com/Mobile-Technology-Academic-Libraries-Innovative/dp/0838988792/ref=sr_1_1?ie=UTF8&qid=1543369094&sr=8-1&keywords=mobile+technology+and+academic+libraries,,
3D Modeling,"Theo,Zizka",2014,978-1-63137-812-6,,,,,,,
"Blender Quick Start Guide: 3D Modeling, Animation, and Render with Eevee in Blender 2.8","Allan,Brito",2018,978-1-78961-293-6,,,,,,,
"Knit, Hook, and Spin: A Kid's Activity Guide to Fiber Arts and Crafts","Laurie,Carlson",2016,978-1-61373-403-2,,,,,,,
Laser Cutting for Fashion and Textiles,"Laura Berens,Baker",2016,978-1-78067-617-3,,,,,,,
Laser Cutting and 3-D Printing for Railway Modellers,"Bob,Gledhill",2016,978-1-78500-227-4,,,,,,,
"Origami, Plain and Simple","Thomas,Robert; Hull,Neale",2018,978-1-250-23008-9,,,,,,,
Raspberry Pi For Dummies,,,,,,,,,,
Exploring Raspberry Pi: Interfacing to the Real World with Embedded Linux,"Derek,Molloy",2016,978-1-119-18870-4,,,,,,,
A beginner's guide to 3D modeling : a guide to Autodesk Fusion 360,"Cameron,Coward",2019,978-1-59327-926-4 1-59327-926-4,,,,,,,
The Invent to Learn guide to 3D printing in the classroom : recipes for success,"Norma,Sara; Thornburg,David D.; Armstrong,Thornburg",2014,0-9891511-4-X,,,,,,,
Coding for kids for dummies,"Camille,McCue",2015,1-118-94032-6,,,,,,,
Raspberry Pi Projects for Kids.,"Daniel (Computer science researcher),Bates",2014,1-306-53840-8,,,,,,,
Design thinking : a guide to creative problem solving for everyone,"Andy,Pressman",2019,1-138-67345-5,,,,,,,
Elements of Photogrammetry with Application in GIS,"Benjamin E.,Bon A.; Wilkinson,Paul R.; Dewitt,Wolf",2014,0071761128 (hbk.),,,,,,,
"How to show & sell your crafts : how to build your craft business at home, online, and in the marketplace","Torie.,Jayne",2014,978-1-250-04472-3 1-250-04472-3,,,,,,,
Quilled mandalas : 30 paper projects for creativity and relaxation,"Alli,Bartkowski",2016,,,,,,,,
The maker's field guide : the definitive guide to making anything imaginable,"Christopher,Armstrong",2019,978-1-73254-550-2 1-73254-550-2,,,,,,,
"3D CAD with Autodesk 123D : designing for 3D printing, laser cutting, and personal fabrication","Emily,; Gertz,Jesse Harrington,Au",2016,978-1-4493-4301-9 1-4493-4301-5,,,,,,,
Creating with laser cutters and engravers,"Mary-Lane,Kamberg",2017,978-1-4994-6505-1 1-4994-6505-X,,,,,,,
Outdoor wood projects : 24 projects you can build in a weekend,"Steve.,Cory",2014,978-1-62113-808-2 1-62113-808-9,,,,,,,
"The weaving explorer : ingenious techniques, accessible tools & creative projects with yarn, paper, wire & more","Gwen,; Steege,Deborah,Jarchow",2019,978-1-63586-028-3 1-63586-028-8,,,,,https://www.amazon.com/Weaving-Explorer-Ingenious-Techniques-Accessible/dp/1635860288/ref=sr_1_1?keywords=The+weaving+explorer+%3A+ingenious+techniques%2C+accessible+tools+%26+creative+projects+with+yarn%2C+paper%2C+wire+%26+more&qid=1570112226&s=gateway&sr=8-1,https://www.worldcat.org/title/weaving-explorer-ingenious-techniques-accessible-tools-creative-projects-with-yarn-paper-wire-more/oclc/1113055234&referer=brief_results,
ESP8266 home automation projects : leverage the power of this tiny WiFi chip to build exciting smart home projects,"Catalin.,Batrinu",2017,,,,,,,,
Make : 3D printing,"Brian,Anna Kaziunas; Jepson,France",2014,1-4571-8293-9,,,,,,,
Amazing origami gifts,"Rob,Ives",2019,978-1-5415-4280-8 1-5415-4280-0,,,,,https://www.amazon.com/Amazing-Origami-Gifts-Rob-Ives/dp/1541501241/ref=sr_1_1?crid=QNMU4RZO6NRX&keywords=amazing+origami+gifts+rob+ives&qid=1570113542&s=gateway&sprefix=Amazing+origami+gifts+r%2Caps%2C168&sr=8-1,https://www.worldcat.org/title/amazing-origami-gifts/oclc/1042077223&referer=brief_results,
The essential guide to HTML5 : using games to learn HTML5 and JavaScript,"Jeanine,Meyer",2018,1-4842-4154-1,,,,,,,
"The Art of Photography : A Personal Approach to Artistic Expression, 2nd Edition","Bruce,Barnbaum",2017,1-68198-210-2,,,,,,,
